candle_begin_time,close,每次投入资金,累计投入资金,每次买币数量,累计买币数量,平均持有成本,币市值
2018-03-13,5.7808,100,25600,17.264046498754496,16595.94035804218,1.5425459147058558,95937.81202177022
2018-03-14,5.26,100,25700,18.973384030418252,16614.913742072597,1.5468030950363574,87394.44628330185
2018-03-15,5.1104,100,25800,19.52880400751409,16634.44254608011,1.550998774291943,85008.6551874878
2018-03-16,5.028,100,25900,19.848846459824983,16654.291392539937,1.555154727964082,83737.7771216908
2018-03-17,4.6022,100,26000,21.685280952587892,16675.976673492525,1.559129069863031,76746.1798467473
2018-03-18,4.6108,100,26100,21.644833868309185,16697.621507360833,1.563096875114477,76989.39324613933
2018-03-19,6.179,100,26200,16.151480822139504,16713.772988182973,1.5675694541575986,103274.4032939826
2018-03-20,5.9239,100,26300,16.847009571397223,16730.61999775437,1.5719680444317101,99110.5198046971
2018-03-21,6.895,100,26400,14.474256707759247,16745.09425446213,1.5765811525942945,115457.42488451637
2018-03-22,6.8883,100,26500,14.488335293178288,16759.582589755308,1.5811849643677136,115445.03275301149
2018-03-23,6.9345,100,26600,14.391809070589085,16773.974398825896,1.585789948615987,116319.12546865818
2018-03-24,6.5,100,26700,15.353846153846154,16789.32824497974,1.5902959076390504,109130.63359236831
2018-03-25,6.4266,100,26800,15.529206734509696,16804.85745171425,1.5947769909387808,107998.0968991868
2018-03-26,5.78,100,26900,17.26643598615917,16822.12388770041,1.5990846446962672,97231.87607090837
2018-03-27,5.8018,100,27000,17.201558137129854,16839.32544583754,1.6033896421114684,97698.39837166025
2018-03-28,6.1946,100,27100,16.110806186033,16855.436252023574,1.6077898901457695,104412.68540678524
2018-03-29,5.8775,100,27200,16.98000850701829,16872.416260530594,1.6120986810661244,99167.62657126857
2018-03-30,6.0069,100,27300,16.614226972315173,16889.03048750291,1.616433816032289,101450.71723538123
2018-03-31,5.9218,100,27400,16.852983890033435,16905.883471392943,1.620737540653497,100113.26074089474
2018-04-01,5.5931,100,27500,17.84341420679051,16923.72688559973,1.624937591222861,94656.09684384786
2018-04-02,5.81,100,27600,17.17728055077453,16940.904166150507,1.6291928535400932,98426.65320533444
